employee_id,skill
CM_E030,Etkili İletişim
CM_E030,Problem Çözme
CM_E030,Coğrafi Bilgi Sistemleri Kullanımı
CM_E030,İleri Düzey Stres Yönetimi
CM_E030,Yabancı Dil (Almanca)
CM_E031,Hızlı Klavye Kullanımı
CM_E031,Etkili İletişim
CM_E031,Problem Çözme
CM_E031,Yabancı Dil (Almanca)
CM_E031,Coğrafi Bilgi Sistemleri Kullanımı
CM_E032,Liderlik ve Motivasyon
CM_E032,Operasyonel Planlama
CM_E032,Raporlama Teknikleri
CM_E032,Liderlik ve Koordinasyon
CM_E032,Ekip Yönetimi Yazılımları
CM_E033,Acil Durum Kodları Bilgisi
CM_E033,Karar Verme Yeteneği
CM_E033,Harita Okuma
CM_E033,Yangın Güvenliği Bilgisi
CM_E034,Acil Durum Kodları Bilgisi
CM_E034,Karar Verme Yeteneği
CM_E034,Harita Okuma
CM_E034,Ambulans Yönetim Sistemi Kullanımı
CM_E034,Detay Odaklılık
CM_E034,Çoklu Görev Yönetimi
CM_E035,Hızlı Klavye Kullanımı
CM_E035,Etkili İletişim
CM_E035,Problem Çözme
CM_E035,İleri Düzey Stres Yönetimi
CM_E035,Stres Yönetimi Teknikleri
CM_E035,Yabancı Dil (Almanca)
CM_E036,Acil Durum Kodları Bilgisi
CM_E036,Karar Verme Yeteneği
CM_E036,Harita Okuma
CM_E036,Ambulans Yönetim Sistemi Kullanımı
CM_E036,Çoklu Görev Yönetimi
CM_E037,Acil Durum Kodları Bilgisi
CM_E037,Karar Verme Yeteneği
CM_E037,Harita Okuma
CM_E037,Güvenlik Protokolleri
CM_E037,Çoklu Görev Yönetimi
CM_E037,Detay Odaklılık
CM_E038,Hızlı Klavye Kullanımı
CM_E038,Etkili İletişim
CM_E038,Problem Çözme
CM_E038,Coğrafi Bilgi Sistemleri Kullanımı
CM_E038,Yabancı Dil (Almanca)
CM_E039,Liderlik ve Motivasyon
CM_E039,Operasyonel Planlama
CM_E039,Raporlama Teknikleri
CM_E039,Liderlik ve Koordinasyon
CM_E040,Sistem Arıza Tespiti
CM_E040,Ağ Temelleri
CM_E040,Yazılım Güncelleme
CM_E040,Veritabanı Yönetimi (Temel)
CM_E040,Siber Güvenlik Farkındalığı
CM_E041,Hızlı Klavye Kullanımı
CM_E041,Etkili İletişim
CM_E041,Problem Çözme
CM_E041,Coğrafi Bilgi Sistemleri Kullanımı
CM_E041,İleri Düzey Stres Yönetimi
CM_E041,Kriz Yönetimi Temel Bilgisi
CM_E042,Liderlik ve Motivasyon
CM_E042,Operasyonel Planlama
CM_E042,Raporlama Teknikleri
CM_E042,Liderlik ve Koordinasyon
CM_E042,Performans Değerlendirme
CM_E042,Üst Düzey Kriz Yönetimi
CM_E043,Hızlı Klavye Kullanımı
CM_E043,Etkili İletişim
CM_E043,Problem Çözme
CM_E043,Yabancı Dil (Almanca)
CM_E043,Stres Yönetimi Teknikleri
CM_E044,Acil Durum Kodları Bilgisi
CM_E044,Karar Verme Yeteneği
CM_E044,Harita Okuma
CM_E044,Polis Telsiz Prosedürleri
CM_E044,Polis Kriz Protokolleri
CM_E044,Detay Odaklılık
CM_E045,Hızlı Klavye Kullanımı
CM_E045,Etkili İletişim
CM_E045,Problem Çözme
CM_E046,Acil Durum Kodları Bilgisi
CM_E046,Karar Verme Yeteneği
CM_E046,Harita Okuma
CM_E046,Yangın Güvenliği Bilgisi
CM_E046,Afet Yönetimi Temel Bilgileri
CM_E046,Detay Odaklılık
CM_E047,Hızlı Klavye Kullanımı
CM_E047,Etkili İletişim
CM_E047,Problem Çözme
CM_E047,Yabancı Dil (İngilizce)
CM_E048,Sistem Arıza Tespiti
CM_E048,Ağ Temelleri
CM_E048,Yazılım Güncelleme
CM_E048,Veritabanı Yönetimi (Temel)
CM_E049,Liderlik ve Motivasyon
CM_E049,Operasyonel Planlama
CM_E049,Raporlama Teknikleri
CM_E049,Liderlik ve Koordinasyon
CM_E049,Üst Düzey Kriz Yönetimi
CM_E049,Performans Değerlendirme
CM_E049,Ekip Yönetimi Yazılımları
CM_E050,Liderlik ve Motivasyon
CM_E050,Operasyonel Planlama
CM_E050,Raporlama Teknikleri
CM_E050,Liderlik ve Koordinasyon
CM_E050,Performans Değerlendirme
CM_E051,Hızlı Klavye Kullanımı
CM_E051,Etkili İletişim
CM_E051,Problem Çözme
CM_E051,Yabancı Dil (Almanca)
CM_E052,Acil Durum Kodları Bilgisi
CM_E052,Karar Verme Yeteneği
CM_E052,Harita Okuma
CM_E052,Çoklu Görev Yönetimi
CM_E053,Hızlı Klavye Kullanımı
CM_E053,Etkili İletişim
CM_E053,Problem Çözme
CM_E053,Coğrafi Bilgi Sistemleri Kullanımı
CM_E053,İleri Düzey Stres Yönetimi
CM_E054,Hızlı Klavye Kullanımı
CM_E054,Etkili İletişim
CM_E054,Problem Çözme
CM_E054,Coğrafi Bilgi Sistemleri Kullanımı
CM_E054,Yabancı Dil (Almanca)
CM_E054,İleri Düzey Stres Yönetimi
CM_E055,Hızlı Klavye Kullanımı
CM_E055,Etkili İletişim
CM_E055,Problem Çözme
CM_E055,İleri Düzey Stres Yönetimi
CM_E055,Coğrafi Bilgi Sistemleri Kullanımı
CM_E055,Yabancı Dil (Almanca)
CM_E056,Liderlik ve Motivasyon
CM_E056,Operasyonel Planlama
CM_E056,Raporlama Teknikleri
CM_E056,Liderlik ve Koordinasyon
CM_E056,Ekip Yönetimi Yazılımları
CM_E056,Performans Değerlendirme
CM_E057,Acil Durum Kodları Bilgisi
CM_E057,Karar Verme Yeteneği
CM_E057,Harita Okuma
CM_E058,Acil Durum Kodları Bilgisi
CM_E058,Karar Verme Yeteneği
CM_E058,Harita Okuma
CM_E058,Temel Tıbbi Terminoloji
CM_E058,Detay Odaklılık
CM_E059,Hızlı Klavye Kullanımı
CM_E059,Etkili İletişim
CM_E059,Problem Çözme
CM_E059,Stres Yönetimi Teknikleri
CM_E059,Yabancı Dil (Almanca)
CM_E060,Sistem Arıza Tespiti
CM_E060,Ağ Temelleri
CM_E060,Yazılım Güncelleme
CM_E060,Siber Güvenlik Farkındalığı
CM_E061,Acil Durum Kodları Bilgisi
CM_E061,Karar Verme Yeteneği
CM_E061,Harita Okuma
CM_E061,Temel Tıbbi Triyaj Bilgisi
CM_E061,Detay Odaklılık
CM_E062,Hızlı Klavye Kullanımı
CM_E062,Etkili İletişim
CM_E062,Problem Çözme
CM_E062,İleri Düzey Stres Yönetimi
CM_E062,Yabancı Dil (Almanca)
CM_E063,Hızlı Klavye Kullanımı
CM_E063,Etkili İletişim
CM_E063,Problem Çözme
CM_E063,Yabancı Dil (İngilizce)
CM_E063,Kriz Yönetimi Temel Bilgisi
CM_E063,Yabancı Dil (Almanca)
CM_E064,Hızlı Klavye Kullanımı
CM_E064,Etkili İletişim
CM_E064,Problem Çözme
CM_E065,Hızlı Klavye Kullanımı
CM_E065,Etkili İletişim
CM_E065,Problem Çözme
CM_E065,İleri Düzey Stres Yönetimi
CM_E065,Kriz Yönetimi Temel Bilgisi
CM_E066,Hızlı Klavye Kullanımı
CM_E066,Etkili İletişim
CM_E066,Problem Çözme
CM_E067,Acil Durum Kodları Bilgisi
CM_E067,Karar Verme Yeteneği
CM_E067,Harita Okuma
CM_E067,Temel Tıbbi Terminoloji
CM_E067,Temel Tıbbi Triyaj Bilgisi
CM_E067,Çoklu Görev Yönetimi
CM_E067,Detay Odaklılık
CM_E068,Liderlik ve Motivasyon
CM_E068,Operasyonel Planlama
CM_E068,Raporlama Teknikleri
CM_E068,Liderlik ve Koordinasyon
CM_E068,Performans Değerlendirme
CM_E068,Üst Düzey Kriz Yönetimi
CM_E068,Ekip Yönetimi Yazılımları
CM_E069,Acil Durum Kodları Bilgisi
CM_E069,Karar Verme Yeteneği
CM_E069,Harita Okuma
CM_E069,Afet Yönetimi Temel Bilgileri
CM_E069,Yangın Güvenliği Bilgisi
CM_E070,Acil Durum Kodları Bilgisi
CM_E070,Karar Verme Yeteneği
CM_E070,Harita Okuma
CM_E070,Polis Telsiz Prosedürleri
CM_E070,Güvenlik Protokolleri
CM_E070,Çoklu Görev Yönetimi
CM_E071,Hızlı Klavye Kullanımı
CM_E071,Etkili İletişim
CM_E071,Problem Çözme
CM_E071,Coğrafi Bilgi Sistemleri Kullanımı
CM_E072,Liderlik ve Motivasyon
CM_E072,Operasyonel Planlama
CM_E072,Raporlama Teknikleri
CM_E072,Liderlik ve Koordinasyon
CM_E072,Performans Değerlendirme
CM_E072,Ekip Yönetimi Yazılımları
CM_E072,Üst Düzey Kriz Yönetimi
CM_E073,Liderlik ve Motivasyon
CM_E073,Operasyonel Planlama
CM_E073,Raporlama Teknikleri
CM_E073,Liderlik ve Koordinasyon
CM_E073,Üst Düzey Kriz Yönetimi
CM_E073,Performans Değerlendirme
CM_E073,Ekip Yönetimi Yazılımları
CM_E074,Hızlı Klavye Kullanımı
CM_E074,Etkili İletişim
CM_E074,Problem Çözme
CM_E075,Liderlik ve Motivasyon
CM_E075,Operasyonel Planlama
CM_E075,Raporlama Teknikleri
CM_E075,Liderlik ve Koordinasyon
CM_E076,Hızlı Klavye Kullanımı
CM_E076,Etkili İletişim
CM_E076,Problem Çözme
CM_E076,Yabancı Dil (İngilizce)
CM_E077,Hızlı Klavye Kullanımı
CM_E077,Etkili İletişim
CM_E077,Problem Çözme
CM_E077,Yabancı Dil (İngilizce)
CM_E077,Kriz Yönetimi Temel Bilgisi
CM_E077,Yabancı Dil (Almanca)
CM_E078,Liderlik ve Motivasyon
CM_E078,Operasyonel Planlama
CM_E078,Raporlama Teknikleri
CM_E078,Liderlik ve Koordinasyon
CM_E078,Üst Düzey Kriz Yönetimi
CM_E078,Ekip Yönetimi Yazılımları
CM_E079,Hızlı Klavye Kullanımı
CM_E079,Etkili İletişim
CM_E079,Problem Çözme
CM_E079,İleri Düzey Stres Yönetimi
CM_E080,Hızlı Klavye Kullanımı
CM_E080,Etkili İletişim
CM_E080,Problem Çözme
CM_E037,Polis Kriz Protokolleri
CM_E070,Polis Kriz Protokolleri
CM_E001,İleri Düzey Stres Yönetimi
CM_E002,İleri Düzey Stres Yönetimi
CM_E007,İleri Düzey Stres Yönetimi
CM_E009,İleri Düzey Stres Yönetimi
CM_E027,İleri Düzey Stres Yönetimi
CM_E045,İleri Düzey Stres Yönetimi
CM_E059,İleri Düzey Stres Yönetimi
CM_E026,Temel Tıbbi Triyaj Bilgisi
CM_E034,Temel Tıbbi Triyaj Bilgisi
CM_E036,Temel Tıbbi Triyaj Bilgisi
CM_E052,Temel Tıbbi Triyaj Bilgisi
CM_E057,Temel Tıbbi Triyaj Bilgisi
CM_E058,Temel Tıbbi Triyaj Bilgisi
CM_E_cfg_minstaff_084,Çoklu Dil
CM_E_cfg_minstaff_085,Teknik Bilgi
CM_E_cfg_minstaff_087,Satış Deneyimi
