shift_id,name,date,start_time,end_time,department
CM_S0105,Gündüz Hafta Sonu Sağlık Yönlendirme,2025-05-10,08:00:00,19:00:00,Sağlık Yönlendirme
CM_S0106,Gündüz Hafta Sonu İtfaiye Yönlendirme,2025-05-10,08:00:00,19:00:00,İtfaiye Yönlendirme
CM_S0107,Gündüz Hafta Sonu Teknik Operasyonlar,2025-05-10,08:00:00,19:00:00,Teknik Operasyonlar
CM_S0108,Gündüz Hafta Sonu Yönetim,2025-05-10,08:00:00,19:00:00,Yönetim
CM_S0109,Gündüz Hafta Sonu Genel Çağrı,2025-05-11,08:00:00,19:00:00,Genel Çağrı
CM_S0110,Gündüz Hafta Sonu Polis Yönlendirme,2025-05-11,08:00:00,19:00:00,Polis Yönlendirme
CM_S0111,Gündüz Hafta Sonu Sağlık Yönlendirme,2025-05-11,08:00:00,19:00:00,Sağlık Yönlendirme
CM_S0112,Gündüz Hafta Sonu İtfaiye Yönlendirme,2025-05-11,08:00:00,19:00:00,İtfaiye Yönlendirme
CM_S0113,Gündüz Hafta Sonu Teknik Operasyonlar,2025-05-11,08:00:00,19:00:00,Teknik Operasyonlar
CM_S0114,Gündüz Hafta Sonu Yönetim,2025-05-11,08:00:00,19:00:00,Yönetim
CM_S0115,Gece Hafta Sonu Genel Çağrı,2025-05-10,20:00:00,08:00:00,Genel Çağrı
CM_S0116,Gece Hafta Sonu Polis Yönlendirme,2025-05-10,20:00:00,08:00:00,Polis Yönlendirme
CM_S0117,Gece Hafta Sonu Sağlık Yönlendirme,2025-05-10,20:00:00,08:00:00,Sağlık Yönlendirme
CM_S0118,Gece Hafta Sonu İtfaiye Yönlendirme,2025-05-10,20:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0119,Gece Hafta Sonu Teknik Operasyonlar,2025-05-10,20:00:00,08:00:00,Teknik Operasyonlar
CM_S0120,Gece Hafta Sonu Yönetim,2025-05-10,20:00:00,08:00:00,Yönetim
CM_S0121,Gece Hafta Sonu Genel Çağrı,2025-05-11,20:00:00,08:00:00,Genel Çağrı
CM_S0122,Gece Hafta Sonu Polis Yönlendirme,2025-05-11,20:00:00,08:00:00,Polis Yönlendirme
CM_S0123,Gece Hafta Sonu Sağlık Yönlendirme,2025-05-11,20:00:00,08:00:00,Sağlık Yönlendirme
CM_S0124,Gece Hafta Sonu İtfaiye Yönlendirme,2025-05-11,20:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0125,Gece Hafta Sonu Teknik Operasyonlar,2025-05-11,20:00:00,08:00:00,Teknik Operasyonlar
CM_S0126,Gece Hafta Sonu Yönetim,2025-05-11,20:00:00,08:00:00,Yönetim
