shift_id,name,date,start_time,end_time,department
S0048,Akşam Hafta İçi Cerrahi,2025-05-15,16:00:00,00:00:00,Cerrahi
S0049,Akşam Hafta İçi Pediatri,2025-05-15,16:00:00,00:00:00,Pediatri
S0050,Akşam Hafta İçi Yoğun Bakım,2025-05-15,16:00:00,00:00:00,Yoğun Bakım
S0051,Akşam Hafta İçi Acil,2025-05-16,16:00:00,00:00:00,Acil
S0052,Akşam Hafta İçi Kardiyoloji,2025-05-16,16:00:00,00:00:00,Kardiyoloji
S0053,Akşam Hafta İçi Cerrahi,2025-05-16,16:00:00,00:00:00,Cerrahi
S0054,Akşam Hafta İçi Pediatri,2025-05-16,16:00:00,00:00:00,Pediatri
S0055,Akşam Hafta İçi Yoğun Bakım,2025-05-16,16:00:00,00:00:00,Yoğun Bakım
S0056,Akşam Hafta İçi Acil,2025-05-19,16:00:00,00:00:00,Acil
S0057,Akşam Hafta İçi Kardiyoloji,2025-05-19,16:00:00,00:00:00,Kardiyoloji
S0058,Akşam Hafta İçi Cerrahi,2025-05-19,16:00:00,00:00:00,Cerrahi
S0059,Akşam Hafta İçi Pediatri,2025-05-19,16:00:00,00:00:00,Pediatri
S0060,Akşam Hafta İçi Yoğun Bakım,2025-05-19,16:00:00,00:00:00,Yoğun Bakım
S0061,Akşam Hafta İçi Acil,2025-05-20,16:00:00,00:00:00,Acil
S0062,Akşam Hafta İçi Kardiyoloji,2025-05-20,16:00:00,00:00:00,Kardiyoloji
S0063,Akşam Hafta İçi Cerrahi,2025-05-20,16:00:00,00:00:00,Cerrahi
S0064,Akşam Hafta İçi Pediatri,2025-05-20,16:00:00,00:00:00,Pediatri
S0065,Akşam Hafta İçi Yoğun Bakım,2025-05-20,16:00:00,00:00:00,Yoğun Bakım
S0066,Gece Hafta İçi Acil,2025-05-14,00:00:00,08:00:00,Acil
S0067,Gece Hafta İçi Yoğun Bakım,2025-05-14,00:00:00,08:00:00,Yoğun Bakım
S0068,Gece Hafta İçi Acil,2025-05-15,00:00:00,08:00:00,Acil
S0069,Gece Hafta İçi Yoğun Bakım,2025-05-15,00:00:00,08:00:00,Yoğun Bakım
S0070,Gece Hafta İçi Acil,2025-05-16,00:00:00,08:00:00,Acil
S0071,Gece Hafta İçi Yoğun Bakım,2025-05-16,00:00:00,08:00:00,Yoğun Bakım
S0072,Gece Hafta İçi Acil,2025-05-17,00:00:00,08:00:00,Acil
S0073,Gece Hafta İçi Yoğun Bakım,2025-05-17,00:00:00,08:00:00,Yoğun Bakım
S0074,Gece Hafta İçi Acil,2025-05-20,00:00:00,08:00:00,Acil
S0075,Gece Hafta İçi Yoğun Bakım,2025-05-20,00:00:00,08:00:00,Yoğun Bakım
S0076,Gündüz Hafta Sonu Acil,2025-05-17,08:00:00,20:00:00,Acil
S0077,Gündüz Hafta Sonu Yoğun Bakım,2025-05-17,08:00:00,20:00:00,Yoğun Bakım
S0078,Gündüz Hafta Sonu Pediatri,2025-05-17,08:00:00,20:00:00,Pediatri
S0079,Gündüz Hafta Sonu Acil,2025-05-18,08:00:00,20:00:00,Acil
S0080,Gündüz Hafta Sonu Yoğun Bakım,2025-05-18,08:00:00,20:00:00,Yoğun Bakım
S0081,Gündüz Hafta Sonu Pediatri,2025-05-18,08:00:00,20:00:00,Pediatri
S0082,Gece Hafta Sonu Acil,2025-05-18,20:00:00,08:00:00,Acil
S0083,Gece Hafta Sonu Yoğun Bakım,2025-05-18,20:00:00,08:00:00,Yoğun Bakım
S0084,Gece Hafta Sonu Acil,2025-05-19,20:00:00,08:00:00,Acil
S0085,Gece Hafta Sonu Yoğun Bakım,2025-05-19,20:00:00,08:00:00,Yoğun Bakım
